;InChiKey;SMILES;N_count;Solvent;Target1;Target2;Target3;Target4;
263;BGKHKLQQDSYPJE-UHFFFAOYSA-N;C(CCCCCC(O)(P(=O)(O)O)P(=O)(O)O)CCCCCN;1;;;;;;
270;SVSUVYGJTIGZBD-LCYFTJDESA-N;C1=CC=NC(=C1)/C=C(/C2=CC=C(C=C2)Cl)\O;1;CDCl3 ;-123.2;;;;
271;SVSUVYGJTIGZBD-LCYFTJDESA-N;C1=CC=NC(=C1)/C=C(/C2=CC=C(C=C2)Cl)\O;1;;;;;;
274;YQDGQEKUTLYWJU-UHFFFAOYSA-N;C1CCC2=C(C1)C=CC=N2;1;"DMSO;CR(ACAC)3";-64.2;;;;
275;YQDGQEKUTLYWJU-UHFFFAOYSA-N;C1CCC2=C(C1)C=CC=N2;1;;;;;;
276;LIWAQLJGPBVORC-UHFFFAOYSA-N;CCNC;1;CH3OH;-352.0;;;;
277;LIWAQLJGPBVORC-UHFFFAOYSA-N;CCNC;1;;;;;;
278;LIWAQLJGPBVORC-UHFFFAOYSA-N;CCNC;1;;;;;;
279;LIWAQLJGPBVORC-UHFFFAOYSA-N;CCNC;1;;;;;;
280;LIWAQLJGPBVORC-UHFFFAOYSA-N;CCNC;1;;;;;;
281;LIWAQLJGPBVORC-UHFFFAOYSA-O;CC[NH2+]C;1;CH3OH;-343.7;;;;
282;LIWAQLJGPBVORC-UHFFFAOYSA-O;CC[NH2+]C;1;;;;;;
283;LIWAQLJGPBVORC-UHFFFAOYSA-O;CC[NH2+]C;1;;;;;;
294;CPRDYRDTGDSAKD-ZHZULCJRSA-N;C1=CC=C(C=C1)C(=O)/C=C\2/C3=CC=CC=C3C4=CC=CC=C4N2;1;CDCl3;-246.2;;;;
295;CPRDYRDTGDSAKD-ZHZULCJRSA-N;C1=CC=C(C=C1)C(=O)/C=C\2/C3=CC=CC=C3C4=CC=CC=C4N2;1;;;;;;
312;OXQMIXBVXHWDPX-UHFFFAOYSA-N;CC(C)(C)N(C)C;1;CH3OH;-339.8;;;;
313;OXQMIXBVXHWDPX-UHFFFAOYSA-N;CC(C)(C)N(C)C;1;;;;;;
314;OXQMIXBVXHWDPX-UHFFFAOYSA-N;CC(C)(C)N(C)C;1;;;;;;
315;OXQMIXBVXHWDPX-UHFFFAOYSA-O;CC(C)(C)[NH+](C)C;1;CH3OH;-326.5;;;;
316;OXQMIXBVXHWDPX-UHFFFAOYSA-O;CC(C)(C)[NH+](C)C;1;;;;;;
317;OXQMIXBVXHWDPX-UHFFFAOYSA-O;CC(C)(C)[NH+](C)C;1;;;;;;
412;HZCRFUPEBRNAAI-WAYWQWQTSA-N;CC(C)/C(=N\O)/C;1;CHCl3;-49.6;;;;
413;HZCRFUPEBRNAAI-WAYWQWQTSA-N;CC(C)/C(=N\O)/C;1;;;;;;
416;HZCRFUPEBRNAAI-WAYWQWQTSA-N;CC(C)/C(=N\O)/C;1;;;;;;
453;ONWURWCFTFACFT-UHFFFAOYSA-N;COP(=O)(N1CCC1)OC;1;C6D6;-346.2;;;;
454;ONWURWCFTFACFT-UHFFFAOYSA-N;COP(=O)(N1CCC1)OC;1;;;;;;
461;XUWHAWMETYGRKB-UHFFFAOYSA-N;C1CCNC(=O)C1;1;CHCl3 ;-265.9;;;;
462;XUWHAWMETYGRKB-UHFFFAOYSA-N;C1CCNC(=O)C1;1;CCl4 ;-264.7;;;;
463;XUWHAWMETYGRKB-UHFFFAOYSA-N;C1CCNC(=O)C1;1;H2O ;-257.8;;;;
464;XUWHAWMETYGRKB-UHFFFAOYSA-N;C1CCNC(=O)C1;1;ACETONE-D6;-265.2;;;;
465;XUWHAWMETYGRKB-UHFFFAOYSA-N;C1CCNC(=O)C1;1;;;;;;
466;XUWHAWMETYGRKB-UHFFFAOYSA-N;C1CCNC(=O)C1;1;;;;;;
467;XUWHAWMETYGRKB-UHFFFAOYSA-N;C1CCNC(=O)C1;1;;;;;;
468;XUWHAWMETYGRKB-UHFFFAOYSA-N;C1CCNC(=O)C1;1;;;;;;
469;XUWHAWMETYGRKB-UHFFFAOYSA-N;C1CCNC(=O)C1;1;;;;;;
470;XUWHAWMETYGRKB-UHFFFAOYSA-N;C1CCNC(=O)C1;1;;;;;;
471;XUWHAWMETYGRKB-UHFFFAOYSA-N;C1CCNC(=O)C1;1;;;;;;
472;XUWHAWMETYGRKB-UHFFFAOYSA-N;C1CCNC(=O)C1;1;;;;;;
473;XUWHAWMETYGRKB-UHFFFAOYSA-N;C1CCNC(=O)C1;1;;;;;;
474;XUWHAWMETYGRKB-UHFFFAOYSA-N;C1CCNC(=O)C1;1;;;;;;
